Zip Code,Building type (service class),Consumption (therms),Utility/Data Source,Latitude,Longitude
11214,Institutional,855968,National Grid,40.60401181,-74.000969
10026,Residential,2349135,ConEd,40.80305812,-73.95334278
10473,Commercial,1408773,ConEd,40.81773147,-73.860537
11228,Large residential,761559,National Grid,40.61654071,-74.01327785
11363,Commercial,151243,ConEd,40.77239842,-73.74679789
11207,Industrial,1355364,National Grid,40.67080243,-73.89384115
10453,Residential,1591607,ConEd,40.85278684,-73.91342678
11239,Large residential,33558083,National Grid,40.64949608,-73.865525
11369,Commercial,1994597,National Grid,40.76341327,-73.8723789
10280,Commercial,103950,ConEd,40.70959451,-74.02022454
10463,Residential,1918613,ConEd,40.88187196,-73.91120748
11235,Large residential,15358828,National Grid,40.57841411,-73.94026
10012,Commercial,3676344,ConEd,40.72553802,-73.99789641
10475,Residential,9204,ConEd,40.87414234,-73.82706857
11218,Industrial,441018,National Grid,40.64322701,-73.97644862
10466,Commercial,2343491,ConEd,40.89080973,-73.84600906
11360,Residential,45219,ConEd,40.78070133,-73.78226734
11224,Large residential,36143134,National Grid,40.57630466,-73.999532
11418,Large residential,1398053,National Grid,40.69637041,-73.84031025
10281,Commercial,37094,ConEd,40.71433,-74.015197
10305,Institutional,8441661,National Grid,40.59618469,-74.07507238
11101,Commercial,7992026,ConEd,40.74570245,-73.93866903
11372,Industrial,48106,National Grid,40.75163074,-73.88361255
10473,Residential,233862,ConEd,40.81773147,-73.860537
11432,Institutional,1307797,National Grid,40.71311535,-73.792821
10020,Commercial,194595,ConEd,40.75949851,-73.9800744
11214,Industrial,285392,National Grid,40.60401181,-74.000969
11371,Institutional,1065320,National Grid,40.77556737,-73.8708655
10004,Commercial,1726800,ConEd,40.68882783,-74.01911251
11378,Industrial,2809327,National Grid,40.7214531,-73.9085435
11433,Large residential,5080122,National Grid,40.69810488,-73.78757403
10454,Commercial,2249303,ConEd,40.80584693,-73.91628505
11434,Commercial,2955224,National Grid,40.67694526,-73.7753069
11435,Commercial,79476,ConEd,40.70119265,-73.80979666
11427,Large residential,2347279,National Grid,40.72931057,-73.75067602
11358,Commercial,1898565,ConEd,40.76035097,-73.79632646
11256,Institutional,277857,National Grid,40.662351,-73.860115
10472,Commercial,1887751,ConEd,40.82973043,-73.87013213
10027,Commercial,25473,ConEd,40.81154956,-73.95290034
11422,Large residential,149873,National Grid,40.66161349,-73.73605173
11412,Large residential,151333,National Grid,40.69812712,-73.7592352
11427,Large residential,1587862,ConEd,40.72931057,-73.75067602
10036,Large residential,395037,ConEd,40.75934683,-73.98986055
10001,Residential,1476126,ConEd,40.75025902,-73.9968863
10030,Commercial,4456113,ConEd,40.81843518,-73.9427653
11104,Residential,329490,ConEd,40.74489337,-73.92054135
11237,Industrial,2133783,National Grid,40.70409574,-73.92099423
11356,Residential,268003,ConEd,40.7849281,-73.8418107
10044,Commercial,1496982,ConEd,40.76197649,-73.94999967
11374,Commercial,1938527,National Grid,40.72646492,-73.86148085
11201,Commercial,13571483,National Grid,40.69467826,-73.98992087
10065,Commercial,2130613,ConEd,40.76430121,-73.96303994
11221,Commercial,1761754,National Grid,40.69128804,-73.92761793
11212,Small residential,7377894,National Grid,40.66279717,-73.91298489
10314,Large residential,2046659,National Grid,40.5964903,-74.16599112
10307,Institutional,163208,National Grid,40.50800453,-74.24211428
11235,Institutional,2091533,National Grid,40.57841411,-73.94026
11201,Industrial,3887016,National Grid,40.69467826,-73.98992087
11430,Commercial,7251275,National Grid,40.64722933,-73.78637495
11222,Industrial,1309400,National Grid,40.72825312,-73.94715978
11418,Commercial,1462567,National Grid,40.69637041,-73.84031025
11423,Industrial,194292,National Grid,40.7172223,-73.7671415
10036,Residential,73600,ConEd,40.75934683,-73.98986055
11001,Residential,703063,ConEd,40.72139,-73.70739693
10016,Large residential,87331,ConEd,40.74524297,-73.97823299
11432,Residential,1830443,ConEd,40.71311535,-73.792821
10001,Residential,58338,ConEd,40.75025902,-73.9968863
11423,Commercial,23,ConEd,40.7172223,-73.7671415
10034,Residential,473019,ConEd,40.87061711,-73.92422326
11218,Large residential,8839578,National Grid,40.64322701,-73.97644862
11416,Large residential,138988,National Grid,40.6845781,-73.84960167
10452,Residential,986430,ConEd,40.83772426,-73.92333221
10033,Residential,628133,ConEd,40.85621993,-73.945859
11356,Commercial,2415327,ConEd,40.7849281,-73.8418107
10475,Commercial,755111,ConEd,40.87414234,-73.82706857
11223,Institutional,1093448,National Grid,40.59693962,-73.97331147
10035,Commercial,2154540,ConEd,40.79381704,-73.9193175
11421,Institutional,154578,National Grid,40.69176459,-73.85702229
11238,Commercial,2045915,National Grid,40.67886241,-73.96382047
10303,Commercial,1062619,National Grid,40.63303231,-74.16834885
11413,Commercial,639059,National Grid,40.66971118,-73.75087393
11204,Small residential,14470621,National Grid,40.61905585,-73.9847986
11363,Residential,1706804,ConEd,40.77239842,-73.74679789
11238,Institutional,1006041,National Grid,40.67886241,-73.96382047
11357,Residential,324086,ConEd,40.78628404,-73.81123206
11419,Large residential,221654,National Grid,40.68871379,-73.82288833
10022,Commercial,2849019,ConEd,40.75863022,-73.96809182
10027,Commercial,2931338,ConEd,40.81154956,-73.95290034
11375,Industrial,483373,National Grid,40.72070726,-73.8462843
11239,Small residential,187050,National Grid,40.64949608,-73.865525
10003,Residential,260502,ConEd,40.73194395,-73.98887215
10012,Commercial,2987748,ConEd,40.72553802,-73.99789641
11375,Large residential,15937171,National Grid,40.72070726,-73.8462843
11217,Large residential,7818509,National Grid,40.6823121,-73.97956719
10461,Commercial,3065943,ConEd,40.84696059,-73.84063284
11379,Industrial,168135,National Grid,40.71679767,-73.87933421
10310,Institutional,256154,National Grid,40.632789,-74.11645861
10304,Commercial,1445743,National Grid,40.59122944,-74.111328
10471,Residential,128800,ConEd,40.90199442,-73.9036265
11236,Small residential,19201617,National Grid,40.64002149,-73.90112194
10312,Commercial,1174629,National Grid,40.54295598,-74.18037682
10282,Commercial,1704836,ConEd,40.71961456,-74.01464928
11419,Industrial,95925,National Grid,40.68871379,-73.82288833
11362,Residential,2911498,ConEd,40.75907422,-73.73430018
11222,Large residential,3928747,National Grid,40.72825312,-73.94715978
11427,Commercial,661448,ConEd,40.72931057,-73.75067602
11215,Commercial,5232962,National Grid,40.66555725,-73.97968154
10007,Residential,605082,ConEd,40.71363052,-74.00913138
10029,Residential,1856481,ConEd,40.79161072,-73.94403228
10045,Commercial,16246,ConEd,40.707865,-74.008144
10037,Residential,33817,ConEd,40.81329776,-73.93728253
11370,Residential,1414,ConEd,40.75935377,-73.891844
11433,Small residential,5792993,National Grid,40.69810488,-73.78757403
10455,Residential,226661,ConEd,40.81353575,-73.90535525
10469,Commercial,8063164,ConEd,40.8681818,-73.84656869
10019,Commercial,12204102,ConEd,40.76761165,-73.9918055
11219,Commercial,2866327,National Grid,40.63277296,-73.99667681
11040,Residential,17466,ConEd,40.74529996,-73.67963193
11419,Commercial,1174701,National Grid,40.68871379,-73.82288833
10033,Commercial,1766048,ConEd,40.85621993,-73.945859
11412,Commercial,522819,National Grid,40.69812712,-73.7592352
10007,Residential,12845,ConEd,40.71363052,-74.00913138
10006,Commercial,1361410,ConEd,40.70825614,-74.01355357
11103,Commercial,2788104,ConEd,40.76286893,-73.91327186
10472,Residential,2650312,ConEd,40.82973043,-73.87013213
11358,Commercial,2357195,ConEd,40.76035097,-73.79632646
11361,Commercial,2049571,ConEd,40.76418885,-73.77232553
10024,Commercial,926,ConEd,40.78362557,-73.966539
11417,Institutional,196503,National Grid,40.67636373,-73.84454276
10017,Residential,168035,ConEd,40.75245653,-73.97297648
11225,Institutional,1222964,National Grid,40.66317006,-73.95370111
11109,Residential,175063,ConEd,40.74441479,-73.95770235
11372,Commercial,3234761,National Grid,40.75163074,-73.88361255
10455,Residential,1650436,ConEd,40.81353575,-73.90535525
11432,Residential,77137,ConEd,40.71311535,-73.792821
11432,Large residential,2212791,ConEd,40.71311535,-73.792821
11101,Commercial,9475891,ConEd,40.74570245,-73.93866903
11433,Commercial,1531565,National Grid,40.69810488,-73.78757403
11417,Industrial,47683,National Grid,40.67636373,-73.84454276
11205,Commercial,4023498,National Grid,40.6938821,-73.96433451
11205,Large residential,11356025,National Grid,40.6938821,-73.96433451
10014,Commercial,6034243,ConEd,40.73358645,-74.0101996
11356,Residential,2618017,ConEd,40.7849281,-73.8418107
11691,Commercial,7506142,National Grid,40.60061434,-73.76256777
10016,Commercial,3446607,ConEd,40.74524297,-73.97823299
10467,Commercial,10790922,ConEd,40.87704791,-73.8715325
10027,Commercial,11932340,ConEd,40.81154956,-73.95290034
11239,Institutional,274144,National Grid,40.64949608,-73.865525
10039,Commercial,430554,ConEd,40.82668193,-73.93777091
11040,Residential,378066,ConEd,40.74529996,-73.67963193
10464,Residential,46873,ConEd,40.8757091,-73.81229725
10128,Commercial,32026,ConEd,40.78177,-73.95062815
